"id","name","region","size","climat","population","points","residential and adjacent spaces","street networks","green spaces","public and business infrastructure and adjacent spaces","social and leisure infrastructure and adjacent spaces","citywide space","img"
"126","Гулькевичи","Краснодарский край","Малый город","условно комфортный климат","34,3 тыс.чел.","171","40","30","20","26","22","33","https://api.индекс-городов.рф/uploads/city/emblem/3501/thumb_156_gulkevichi.png"
"127","Карабулак","Республика Ингушетия","Малый город","условно комфортный климат","42,7 тыс.чел.","124","35","25","9","9","9","37","https://api.индекс-городов.рф/uploads/city/emblem/3604/thumb_260_Karabulak.png"
"128","Себеж","Псковская область","Малый город","условно комфортный климат","5,3 тыс.чел.","154","23","37","20","27","20","27","https://api.индекс-городов.рф/uploads/city/emblem/3924/thumb_581_Sebezh.png"
"129","Дмитриев-Льговский","Курская область","Малый город","условно комфортный климат","6,3 тыс.чел.","175","35","34","25","31","16","34","https://api.индекс-городов.рф/uploads/city/emblem/3519/thumb_174_dmitriev_lgovsky.png"
"130","Инсар","Республика Мордовия","Малый город","условно комфортный климат","7,7 тыс.чел.","138","25","28","23","17","21","24","https://api.индекс-городов.рф/uploads/city/emblem/3580/thumb_236_Insar.png"
"131","Завитинск","Амурская область","Малый город","условно комфортный климат","10,2 тыс.чел.","157","26","33","28","20","23","27","https://api.индекс-городов.рф/uploads/city/emblem/3548/thumb_203_Zavitinsk.PNG"
"132","Норильск","Красноярский край","Большой город","тяжелые климатические условия","181,8 тыс.чел.","194","37","28","26","36","28","39","https://api.индекс-городов.рф/uploads/city/emblem/4325/thumb_983_Norilsk.png"
"133","Устюжна","Вологодская область","Малый город","условно комфортный климат","8,4 тыс.чел.","175","31","26","31","34","26","27","https://api.индекс-городов.рф/uploads/city/emblem/4046/thumb_703_ustyuzhna.png"
"134","Мегион","Ханты-Мансийский автономный округ","Малый город","тяжелые климатические условия","46,6 тыс.чел.","180","31","31","26","27","32","33","https://api.индекс-городов.рф/uploads/city/emblem/3744/thumb_401_megion.png"
"135","Хотьково","Московская область","Малый город","условно комфортный климат","21,3 тыс.чел.","209","37","38","26","40","30","38","https://api.индекс-городов.рф/uploads/city/emblem/4060/thumb_717_khotkovo.gif"
"136","Североморск","Мурманская область","Средний город","тяжелые климатические условия","53,5 тыс.чел.","201","44","42","24","29","21","41","https://api.индекс-городов.рф/uploads/city/emblem/4118/thumb_776_severomorsk.png"
"137","Всеволожск","Ленинградская область","Средний город","условно комфортный климат","74,7 тыс.чел.","180","40","28","29","17","30","36","https://api.индекс-городов.рф/uploads/city/emblem/4206/thumb_864_Vsevolozhsk.png"
